latitude	longitude	station_name	station_country	station_country_code	record_id	uhslc_id	gloss_id	ssc_id	last_rq_date
24.553	278.192	Key West, FL	United States of America (the)	840	2420	242	216	kwfl	2021-12-31T22:59:59Z
24.8	66.967	Karachi	Pakistan	586	1470	147	30	kara	2016-12-14T22:59:59Z
25.157	121.745	Keelung	Taiwan (Province of China)	158	3410	341		keel	
25.297	60.603	Chabahar	Iran (Islamic Republic of)	364	9150	915	337	chab	2016-12-31T22:59:59Z
25.63	57.77	Jask	Iran (Islamic Republic of)	364	1260	126		jask	
25.732	279.838	Virginia Key, FL	United States of America (the)	840	7550	755	218	miam	2021-12-31T22:59:59Z
26.217	127.667	Naha	Japan	392	3550	355	81	naha	2023-12-31T22:59:59Z
26.69	281.017	Settlement Point	Bahamas (the)	44	2570	257	211	stpt	2018-12-31T22:59:59Z
27.1	142.183	Chichijima	Japan	392	470	47	103	chij	2023-12-31T22:59:59Z
28.148	344.593	Las Palmas	Spain	724	2170	217	251	pluz	2017-12-31T22:59:59Z
28.217	182.633	Midway	United States of America (the)	840	500	50	106	midx	2021-12-31T22:59:59Z
28.378	129.498	Naze	Japan	392	3590	359		naze	2018-12-30T22:59:59Z
29.285	265.212	Galveston, P.Pier	United States of America (the)	840	7670	767	217	gptx	2011-07-19T22:59:59Z
29.31	265.207	Galveston, Pier 21	United States of America (the)	840	7750	775	217	gptx	2021-12-31T22:59:59Z
29.833	129.85	Nakano Shima	Japan	392	3450	345		naka	2018-12-30T22:59:59Z
30.403	272.787	Pensacola, FL	United States of America (the)	840	7620	762	288	pnfl	2021-12-31T22:59:59Z
30.732	130.995	Nishinoomote	Japan	392	3630	363		nish	2018-12-30T22:59:59Z
31.217	29.917	Alexandria	Egypt	818	8070	807	349	alex	2016-01-16T22:59:59Z
31.567	131.417	Aburatsu	Japan	392	3540	354	82	abur	2023-12-31T22:59:59Z
31.85	243.367	Ensenada	Mexico	484	3170	317		ense	2009-09-30T22:59:59Z
32.033	279.098	Fort Pulaski, GA	United States of America (the)	840	7520	752	289	fpga	2021-12-31T22:59:59Z
32.373	295.297	Bermuda	United Kingdom of Great Britain and Northern Ireland (the)	826	2590	259	221	bmda	2019-11-22T22:59:59Z
32.64	343.093	Funchal	Portugal	620	2180	218	250	func	
32.715	242.827	San Diego	United States of America (the)	840	5690	569		sand	2021-12-31T22:59:59Z
32.733	129.867	Nagasaki	Japan	392	3620	362	83	nagas	2023-12-31T22:59:59Z
32.783	280.067	Charleston, SC	United States of America (the)	840	2610	261		charl	2021-12-31T22:59:59Z
32.867	242.742	La Jolla, CA	United States of America (the)	840	5540	554	159	lajo	2021-12-31T22:59:59Z
33.467	135.783	Kushimoto	Japan	392	3530	353	85	kusm	2023-12-31T22:59:59Z
34.555	239.39	Vandenberg	United States of America (the)	840	5450	545		vndp	
34.683	137.617	Maisaka	Japan	392	3560	356		maisa	2023-12-31T22:59:59Z
34.9	132.067	Hamada	Japan	392	3480	348	326	hmda	2023-12-31T22:59:59Z
34.917	139.833	Mera	Japan	392	3520	352	86	mera	2023-12-31T22:59:59Z
35.9	354.683	Ceuta	Spain	724	2070	207	249	ceut	2017-12-31T22:59:59Z
36.117	354.65	Gibraltar	United Kingdom of Great Britain and Northern Ireland (the)	826	2890	289	248	gibr	2024-12-31T22:59:59Z
36.183	284.26	Duck Pier, NC	United States of America (the)	840	2600	260	219	dpnc	2021-12-31T22:59:59Z
36.767	137.217	Toyama	Japan	392	3490	349	325	toya	2023-12-31T22:59:59Z
37.735	334.327	Ponta Delgada	Portugal	620	2110	211	245	pdas	2018-12-31T22:59:59Z
