,80,90,95,99
dt_mean_20_days_IntLow_2030,7.0,9.5,12.0,16.0
dt_mean_20_days_Int_2030,5.0,6.0,8.0,11.004999999999995
dt_mean_20_days_IntHigh_2030,4.0,5.0,6.0,8.504999999999995
dt_mean_20_days_High_2030,3.5,4.0,6.0,7.5
dt_mean_20_days_Low_2040,15.5,19.5,23.0,34.004999999999995
dt_mean_20_days_IntLow_2040,7.0,9.5,11.524999999999977,15.004999999999995
dt_mean_20_days_Int_2040,4.0,6.0,7.5,11.0
dt_mean_20_days_IntHigh_2040,3.5,4.0,6.0,7.0049999999999955
dt_mean_20_days_High_2040,3.0,4.0,5.0,6.0
dt_mean_20_days_Low_2050,17.0,21.0,25.5,35.50999999999999
dt_mean_20_days_IntLow_2050,7.5,10.0,11.524999999999977,15.5
dt_mean_20_days_Int_2050,4.0,5.5,7.0,9.004999999999995
dt_mean_20_days_IntHigh_2050,3.0,4.0,5.0,6.0
dt_mean_20_days_High_2050,2.0,3.0,4.0,5.0
dt_mean_20_days_Low_2060,18.100000000000023,23.0,27.5,38.51999999999998
dt_mean_20_days_IntLow_2060,7.5,10.050000000000011,12.0,16.5
dt_mean_20_days_Int_2060,3.5,5.0,6.0,8.0
dt_mean_20_days_IntHigh_2060,2.0,3.0,4.0,6.0
dt_mean_20_days_High_2060,2.0,2.0,3.0,4.0
dt_mean_26_days_Low_2020,13.5,16.0,20.0,37.014999999999986
dt_mean_26_days_IntLow_2020,7.5,10.0,12.5,17.0
dt_mean_26_days_Int_2020,5.5,7.0,9.0,13.0
dt_mean_26_days_IntHigh_2020,4.5,6.0,7.0,10.0
dt_mean_26_days_High_2020,4.0,5.0,6.5,9.0
dt_mean_26_days_Low_2030,15.5,18.0,22.5,38.5
dt_mean_26_days_IntLow_2030,8.0,10.0,13.0,17.0
dt_mean_26_days_Int_2030,5.0,6.5,8.0,12.0
dt_mean_26_days_IntHigh_2030,4.0,5.0,6.5,9.0
dt_mean_26_days_High_2030,3.5,4.0,6.0,7.5
dt_mean_26_days_Low_2040,17.5,21.55000000000001,25.5,38.504999999999995
dt_mean_26_days_IntLow_2040,8.0,10.0,12.024999999999977,16.00999999999999
dt_mean_26_days_Int_2040,4.5,6.0,8.0,11.0
dt_mean_26_days_IntHigh_2040,4.0,5.0,6.0,8.0
dt_mean_26_days_High_2040,3.0,4.0,5.0,7.0
dt_mean_26_days_Low_2050,18.5,23.5,27.5,41.5
dt_mean_26_days_IntLow_2050,8.0,10.5,12.524999999999977,17.0
dt_mean_26_days_Int_2050,4.0,6.0,7.0,10.0
dt_mean_26_days_IntHigh_2050,3.0,4.0,5.0,7.0
dt_mean_26_days_High_2050,2.0,3.0,4.0,5.0
dt_mean_26_days_Low_2060,20.5,25.5,30.024999999999977,43.014999999999986
dt_mean_26_days_IntLow_2060,7.5,11.0,13.5,18.0
